identifier	name	definition	synonyms	alts	parents	species
Dotseqn	Dotseqn License				spdx.term:ListedLicense	
ECL-1.0	Educational Community License v1.0				spdx.term:ListedLicense	
ECL-2.0	Educational Community License v2.0				spdx.term:ListedLicense	
EFL-1.0	Eiffel Forum License v1.0				spdx.term:ListedLicense	
EFL-2.0	Eiffel Forum License v2.0				spdx.term:ListedLicense	
EPICS	EPICS Open License				spdx.term:ListedLicense	
EPL-1.0	Eclipse Public License 1.0				spdx.term:ListedLicense	
EPL-2.0	Eclipse Public License 2.0				spdx.term:ListedLicense	
EUDatagrid	EU DataGrid Software License				spdx.term:ListedLicense	
EUPL-1.0	European Union Public License 1.0				spdx.term:ListedLicense	
EUPL-1.1	European Union Public License 1.1				spdx.term:ListedLicense	
EUPL-1.2	European Union Public License 1.2				spdx.term:ListedLicense	
Elastic-2.0	Elastic License 2.0				spdx.term:ListedLicense	
Entessa	Entessa Public License v1.0				spdx.term:ListedLicense	
ErlPL-1.1	Erlang Public License v1.1				spdx.term:ListedLicense	
Eurosym	Eurosym License				spdx.term:ListedLicense	
FBM	Fuzzy Bitmap License				spdx.term:ListedLicense	
FDK-AAC	Fraunhofer FDK AAC Codec Library				spdx.term:ListedLicense	
FSFAP	FSF All Permissive License				spdx.term:ListedLicense	
FSFAP-no-warranty-disclaimer	FSF All Permissive License (without Warranty)				spdx.term:ListedLicense	
FSFUL	FSF Unlimited License				spdx.term:ListedLicense	
FSFULLR	FSF Unlimited License (with License Retention)				spdx.term:ListedLicense	
FSFULLRSD	FSF Unlimited License (with License Retention and Short Disclaimer)				spdx.term:ListedLicense	
FSFULLRWD	FSF Unlimited License (With License Retention and Warranty Disclaimer)				spdx.term:ListedLicense	
FSL-1.1-ALv2	Functional Source License, Version 1.1, ALv2 Future License				spdx.term:ListedLicense	
FSL-1.1-MIT	Functional Source License, Version 1.1, MIT Future License				spdx.term:ListedLicense	
FTL	Freetype Project License				spdx.term:ListedLicense	
Fair	Fair License				spdx.term:ListedLicense	
Ferguson-Twofish	Ferguson Twofish License				spdx.term:ListedLicense	
Frameworx-1.0	Frameworx Open License 1.0				spdx.term:ListedLicense	
FreeBSD-DOC	FreeBSD Documentation License				spdx.term:ListedLicense	
FreeImage	FreeImage Public License v1.0				spdx.term:ListedLicense	
Furuseth	Furuseth License				spdx.term:ListedLicense	
GCR-docs	Gnome GCR Documentation License				spdx.term:ListedLicense	
GD	GD License				spdx.term:ListedLicense	
